east,north,cat,area
1027310.25384626,1178073.9369692,4018,53096.43683800
1039055.55731593,1178013.94254552,4024,63895.71212700
962883.58922014,1177983.94533368,4111,53996.37644600
1060101.10108088,1177803.96206264,4137,70195.28937900
1027685.26353558,1177893.95369816,4186,51296.55762300
920447.49277606,1178013.94254552,4216,73795.04780900
1028885.29454143,1177743.96763896,4239,89094.02113500
918557.44394186,1177863.95648632,4275,116992.14896500
896401.87149651,1177803.96206264,4328,94493.65877900
944883.12413251,1177503.98994424,4338,138590.69954300
1002604.61551349,1177533.98715608,4357,113392.39053500
1017109.99029661,1177533.98715608,4371,113392.39053500
1032110.37786963,1177923.95091,4378,78294.74584600
1043300.6669991,1177653.97600344,4383,116992.14896500
1114087.49595618,1177653.97600344,4450,80994.56466800
884041.55213634,1177863.95648632,4453,54896.31605300
931952.79004457,1177443.99552056,4514,183587.67991500
1027115.24880781,1177653.97600344,4541,57596.13487500
1105207.26651295,1177833.95927448,4611,50396.61801600
1113142.47153908,1177623.9787916,4612,87294.14192000
920987.50672869,1177683.97321528,4686,62095.83291200
983674.12639634,1177264.01224952,4743,132291.12229100
1031765.36895545,1177743.96763896,4750,63895.71212700
1061901.14758964,1177683.97321528,4757,136790.82032800
906812.14047219,1177593.98157976,4780,52196.49723100
914717.34472317,1177563.98436792,4782,55796.25566000
996619.46087186,1177503.98994424,4800,105292.93406900
915047.35324977,1177653.97600344,4853,89993.96074200
962658.58340654,1177384.00109688,4928,116992.14896500
1078011.56384307,1177413.99830872,5016,122391.78661000
938372.95592582,1177354.00388504,5047,169188.64619600
966963.69464,1177593.98157976,5056,58496.07448300
918257.4361904,1177384.00109688,5150,88194.08152800
1049990.83985667,1177473.9927324,5228,105292.93406900
906572.13427102,1176814.05407191,5254,161989.12933600
1042475.64568258,1177294.00946136,5276,70195.28937900
1073796.45493505,1177384.00109688,5282,129591.30346900
1074726.47896458,1177413.99830872,5283,61195.89330500
1053320.92589788,1177054.03176664,5330,53096.43683800
1048790.80885082,1177204.01782584,5383,136790.82032800
1061136.12782342,1177204.01782584,5385,78294.74584600
1012999.8841016,1177084.02897848,5419,97193.47760200
884341.5598878,1177264.01224952,5446,71095.22898600
1107112.31573473,1177114.02619032,5499,98093.41720900
936407.90515376,1177174.020614,5619,82794.44388300
919472.46758382,1177144.02340216,5666,53096.43683800
984259.14151169,1177114.02619032,5681,61195.89330500
962463.57836809,1177054.03176664,5799,69295.34977200
1006834.72480909,1177144.02340216,5812,57596.13487500
918932.45363119,1176754.05964823,5901,251083.15047100
1050170.84450754,1176904.04570744,5933,241183.81478900
906212.12496927,1176424.09031799,5959,260982.48615300
